행정구역,총인구수,연령구간인구수,0세,1세,2세,3세,4세,5세,6세,7세,8세,9세,10세,11세,12세,13세,14세,15세,16세,17세,18세,19세,20세,21세,22세,23세,24세,25세,26세,27세,28세,29세,30세,31세,32세,33세,34세,35세,36세,37세,38세,39세,40세,41세,42세,43세,44세,45세,46세,47세,48세,49세,50세,51세,52세,53세,54세,55세,56세,57세,58세,59세,60세,61세,62세,63세,64세,65세,66세,67세,68세,69세,70세,71세,72세,73세,74세,75세,76세,77세,78세,79세,80세,81세,82세,83세,84세,85세,86세,87세,88세,89세,90세,91세,92세,93세,94세,95세,96세,97세,98세,99세,100세 이상
전국  (0000000000),"51,672,400","257,662","287,678","317,611","346,933","385,649","431,448","446,115","439,671","468,444","478,018","487,829","452,255","458,521","492,750","464,127","442,213","450,883","484,347","486,677","521,968","605,260","630,292","623,467","658,410","676,242","699,448","700,005","710,385","724,224","717,580","656,851","644,911","629,510","612,449","622,702","644,758","644,907","703,896","777,938","837,186","841,479","839,982","766,703","758,953","749,780","766,964","811,540","882,316","898,058","900,488","937,443","901,145","949,318","855,035","828,141","833,159","837,799","755,367","877,194","815,713","949,653","888,705","798,623","752,124","703,300","662,499","681,018","534,854","519,348","511,691","402,975","447,601","423,429","421,357","408,873","276,723","319,701","305,798","348,760","339,094","274,963","255,574","240,850","207,894","190,197","169,199","146,573","118,476","97,656","80,961","61,135","51,525","42,155","31,388","22,662","15,432","10,829","7,530","8,085","4,616","10,777",
서울특별시  (1100000000),"9,565,990","44,241","47,223","51,058","54,048","59,547","66,382","68,371","67,142","71,742","72,772","74,477","70,395","71,915","78,374","74,924","71,938","74,369","80,500","80,985","88,695","106,860","114,121","120,157","133,702","142,798","155,017","160,087","166,645","172,648","171,173","156,279","150,512","146,184","138,245","137,246","138,148","134,473","142,558","150,121","158,562","157,584","155,853","140,906","137,095","137,423","138,036","146,891","158,722","162,728","165,833","171,071","163,056","166,682","149,691","142,213","142,512","145,389","134,401","151,250","139,967","161,843","155,730","142,598","136,864","128,249","122,777","127,746","101,411","98,671","93,915","75,430","85,480","80,004","80,811","79,637","55,518","60,287","56,713","62,265","59,904","47,613","42,458","39,224","33,404","29,769","26,169","22,057","17,639","14,582","12,008","9,306","7,977","6,783","5,094","3,764","2,535","1,776","1,374","1,368",831,"2,469",
부산광역시  (2600000000),"3,364,358","14,124","16,263","18,046","20,564","23,055","25,859","26,621","25,962","27,396","27,826","28,142","25,460","25,701","27,367","25,592","24,468","25,388","27,681","28,073","30,207","36,278","38,956","39,266","42,455","43,956","44,968","44,511","44,502","44,820","44,360","40,187","39,949","38,166","36,778","36,989","38,055","38,762","42,800","47,537","51,803","53,248","53,679","47,711","46,492","44,974","46,186","49,718","53,623","54,741","55,477","57,734","56,314","59,645","54,777","53,140","54,112","52,998","50,315","60,452","58,018","68,346","64,324","59,549","57,520","55,728","53,218","55,076","43,451","43,269","42,192","34,184","37,264","35,445","34,175","31,993","20,833","25,645","23,669","26,554","24,411","20,507","18,393","16,701","13,661","12,578","10,682","9,120","7,244","5,811","4,983","3,550","2,934","2,570","1,949","1,281",869,610,415,399,250,758,
대구광역시  (2700000000),"2,397,646","10,436","12,412","13,718","15,528","17,629","19,696","20,287","19,945","21,185","21,782","21,990","20,235","20,703","22,585","21,383","20,700","21,322","23,425","23,652","25,075","29,429","31,257","29,991","32,175","32,811","33,119","32,021","31,899","31,816","31,508","28,212","28,341","26,746","25,523","26,173","27,013","26,771","29,675","33,559","36,187","37,244","37,038","34,176","33,819","34,769","35,374","38,064","41,288","42,463","42,905","44,236","43,906","45,725","42,899","41,073","40,834","40,655","37,414","42,769","40,636","45,369","42,634","38,131","34,333","33,743","31,916","31,717","25,344","27,018","26,158","20,019","21,648","21,909","20,165","18,625","11,300","14,377","15,179","16,840","15,602","12,884","11,862","10,886","9,326","8,498","7,574","6,461","5,215","4,216","3,450","2,526","1,908","1,577","1,221",863,549,408,249,218,158,369,
인천광역시  (2800000000),"2,936,367","14,628","16,493","18,625","19,698","22,180","24,792","25,854","25,195","26,777","27,666","28,211","26,027","26,562","28,355","26,733","25,528","25,492","27,563","27,545","29,685","33,863","35,484","35,373","37,734","39,266","40,985","41,831","43,079","44,098","43,856","39,899","38,637","37,263","35,678","36,141","38,008","37,969","41,501","45,979","49,742","50,136","50,201","45,028","44,961","43,442","44,397","47,487","50,676","52,304","51,995","54,160","51,923","54,960","49,884","48,459","49,439","51,216","46,071","53,369","49,080","55,438","51,715","45,848","42,831","38,694","35,787","36,234","27,928","26,252","25,348","18,916","22,248","20,770","20,634","20,641","13,932","14,941","14,523","15,989","15,394","12,388","11,204","10,910","9,305","8,448","7,647","6,560","5,289","4,559","3,766","2,907","2,433","2,094","1,487","1,170",774,618,376,408,240,538,
광주광역시  (2900000000),"1,442,647","7,493","8,222","9,109","10,276","11,633","13,141","13,465","13,553","14,700","14,831","15,279","14,365","14,630","15,680","15,151","14,469","14,758","16,029","16,307","17,438","20,339","20,988","20,720","21,592","21,564","21,465","21,006","20,412","20,255","19,611","17,551","16,855","16,120","15,821","16,360","17,172","17,330","19,557","22,067","23,946","23,177","23,904","22,369","22,057","22,780","21,980","23,766","25,908","26,337","25,562","27,063","25,257","26,742","23,783","22,794","23,652","21,731","20,249","22,722","19,893","23,394","22,513","19,913","18,504","16,458","15,186","15,937","12,447","11,709","12,294","10,904","11,408","10,730","10,721","10,559","7,405","8,127","7,076","8,474","8,497","6,614","6,026","5,474","4,967","4,351","3,714","3,367","2,735","2,181","1,773","1,434","1,317",951,669,541,358,229,136,229,104,235,
대전광역시  (3000000000),"1,456,107","7,256","7,925","8,921","9,941","11,244","12,384","12,937","12,732","13,472","13,859","14,225","13,366","13,507","14,752","14,136","13,485","13,905","15,188","15,101","16,249","18,879","19,750","20,323","21,272","22,007","22,139","21,888","21,621","21,897","21,200","19,505","18,731","18,058","17,689","17,675","18,131","17,890","19,216","21,240","23,053","23,338","22,807","21,541","21,619","21,471","22,145","23,124","25,808","26,002","25,782","26,968","25,687","27,991","24,441","23,177","21,947","23,585","19,680","23,320","22,433","26,473","24,226","21,000","19,946","18,850","17,743","18,230","14,075","13,127","13,177","10,224","11,663","10,888","10,126","9,839","6,680","7,803","7,613","8,336","8,395","6,249","5,878","5,756","5,039","4,427","3,991","3,480","2,860","2,336","1,919","1,389","1,186","1,021",792,519,359,232,171,170,102,202,
울산광역시  (3100000000),"1,126,369","6,075","6,844","7,591","8,491","9,642","10,808","11,165","11,101","11,538","11,610","11,875","10,850","11,072","11,713","10,978","10,266","10,286","11,105","10,912","11,566","13,277","13,767","13,097","13,994","14,203","14,457","14,477","14,384","14,812","14,699","13,705","13,801","13,328","12,992","13,383","13,914","14,065","15,810","17,657","19,225","19,437","19,521","17,589","17,406","16,674","16,863","18,101","19,286","19,970","20,492","21,139","21,116","22,548","20,963","20,580","21,249","20,558","18,254","20,895","19,550","22,273","19,839","18,031","16,480","15,209","14,088","14,015","11,065","10,606","9,993","8,037","8,161","7,716","7,316","6,434","4,057","5,036","4,606","5,423","4,625","3,736","3,564","3,173","2,697","2,447","2,091","1,877","1,575","1,242","1,031",754,583,521,381,297,199,141,100,92,50,82,
세종특별자치시  (3600000000),"362,995","3,370","3,581","4,162","4,432","4,756","5,244","5,392","5,195","5,403","5,442","5,478","5,026","5,005","5,100","4,594","4,194","3,903","3,887","3,524","3,361","3,550","3,611","3,326","3,355","3,447","3,766","3,729","4,082","4,465","4,874","4,770","5,096","5,139","5,452","5,857","5,971","6,225","6,646","7,575","8,463","8,109","8,193","7,423","7,068","6,857","6,671","6,766","6,861","6,474","6,224","6,178","5,410","5,577","4,766","4,387","4,075","4,401","3,626","4,273","3,890","4,583","4,161","3,738","3,450","3,192","3,120","3,153","2,439","2,172","2,157","1,686","1,941","1,801","1,522","1,554","1,034","1,198","1,163","1,325","1,282","1,070",949,965,811,762,742,677,551,460,344,312,268,225,164,112,62,48,27,38,22,38,
경기도  (4100000000),"13,500,688","75,664","84,394","93,287","101,516","112,705","126,089","130,224","126,791","135,146","137,020","139,658","128,734","130,410","139,798","130,595","122,820","124,222","132,427","133,553","143,392","163,263","167,773","166,051","175,001","180,291","187,377","188,006","191,571","195,416","196,240","180,183","176,346","174,892","171,299","174,437","181,811","182,298","198,785","220,623","238,531","239,845","238,367","216,435","214,208","211,379","214,939","224,708","243,264","245,583","247,476","254,859","242,617","253,178","224,110","217,047","216,040","218,817","194,747","221,755","202,868","231,820","213,351","190,974","177,313","160,503","149,287","152,162","117,930","113,103","107,918","81,789","92,519","86,700","88,972","87,629","61,062","67,515","63,676","69,980","68,596","56,609","51,459","48,535","42,415","38,861","34,120","29,614","23,908","19,689","16,307","12,432","10,728","8,718","6,550","4,713","3,310","2,369","1,716","1,677",967,"2,311",
